Centre_Id,Name,Location,Phone number,Govt/Private,Pincode,Coordinates
C3,Shrine Hospital,"Main Bawana Road, Sector 17, Rohini, Delhi",911122478881,Government,110085,"28.74537737707614, 77.119469684656"
C4,Maharaja Agrasen Bhawan,"CS Pocket 12, Rithala Road, Sector 5, Rohini, Delhi",7623687232,Government,110026,"28.715922705082104, 77.104452715344"
C5,Khosla Hospital,"Block BP, West Shalimar Bagh, Shalimar Bagh, West, Delhi",911127479501,Government,110088,"28.708648701572038, 77.154180469312"
C6,Shri Satnam Bhawan,"Block C3, Phase 2, Ashok Vihar, Delhi",6372864873,Government,110052,"28.698507092506304, 77.17358183652783"
C8,Prime Stay B & B,"Haiderpur, Shalimar Bagh",8277478483,Government,110088,"28.723843669846776, 77.14452345767201"
C9,Hotel Park,Shahdara,9882382232,Government,110085,"28.65930465024702, 77.29812825529916"
C11,Bensups Hospital,"Dwarka,New Delhi",1145550000,Government,110075,"28.593079899892082, 77.04450534180204"
C13,The Exotica Grand,"1/12, West Patel Nagar,New Delhi",1149889900,Government,110008,"28.64789258280078, 77.16607245396801"
C15,Swift Hotel Inn,Meera Bagh,1141557348,Government,110001,"28.670060027437483, 77.09263294603198"
C16,Hotel Amrapali Grand,"2/16 East Patel Nagar, New Delhi",1125725700,Government,110008,"28.64267314054727, 77.17486389762674"
C17,Lal Path Labs,"Block -E, Sector 18, Rohini, Delhi",1130258600,Private,110008,"28.73904623105278, 77.13646394180893"
C18,Dr Dangs Lab,"C-2/1, Safadarjung Development Area, NewDelhi",9999992020,Private,110016,"28.550397223461367, 77.20336713995273"
C20,Max Lab,"Max Super Speciality Hospital, Saket, New-Delhi",1126515050,Private,110092,"28.5277935148756, 77.21205198228019"
C21,Oncquest Labs Ltd,"3-Factory Road, New-Delhi",1130611432,Private,110029,"28.559878549536776, 77.19412175215842"
C22,Lifeline Laboratory,"H-11, Green Park Extension, New-Delhi",911149575700,Private,110016,"28.56028158344489, 77.20469961296897"
C24,"Dept of Laboratory Services, Action Cancer Hospital","A-4, Paschim Vihar (East), New-Delhi",911130403040,Private,110063,"28.674566866012484, 77.11102553280004"
C25,Genestrings Diagnostic Centre Pvt Ltd,"3, MMTC, Geetanjali Enclave, New Delhi",911146696031,Private,110017,"28.533798913083015, 77.20382493068801"
C26,"Sterling Accuris Diagnostics, A divison of Sterling Accuris Wellness Pvt Ltd","C-65, Block C, Phase I, Okhla, New Delhi",917949030000,Private,110020,"28.52678996404351, 77.283061253968"
