Centre,Landmark,Distance (KM)
C15,L1 ,14.686532
C13,L2,0.886041
C13,L3,1.323248
C16,L2,1.92149
C16,L3,0.327723
C17,L2,5.256402
C17,L3,7.464464
C18,L4,1.123412
C18,L5,0.757423
C22,L4,0.216891
C22,L5,1.808012
C25,L6,0.518877
C26,L7,1.289852
C4,L8,5.874223
C21,L10,1.579823
C6,L22,0.909083
C24,L29,0.359855
C24,L30,0.855103
C11,L32,0.892443
C5,L40,2.446702
C8,L40,0.84346
C20,L42,13.115625
C3,L37,2.967865
C9,L37,19.865581
C3,L38,4.225016
C9,L38,17.659111
C3,L39,3.395379
C9,L3,11.860071
